Date,Time,S_W
19/08/2017,12:15:38,W
19/08/2017,12:16:28,S
19/08/2017,12:21:17,W
19/08/2017,12:26:50,S
19/08/2017,12:29:32,W
19/08/2017,12:29:50,S
19/08/2017,12:47:33,W
19/08/2017,12:50:35,S
19/08/2017,12:54:28,W
19/08/2017,12:58:30,S
19/08/2017,13:13:21,W
19/08/2017,13:14:05,S
19/08/2017,13:18:33,W
19/08/2017,13:18:55,S
19/08/2017,13:22:07,W
19/08/2017,13:22:19,S
19/08/2017,13:27:15,W
19/08/2017,13:48:22,S
19/08/2017,13:55:47,W
19/08/2017,13:58:30,S
19/08/2017,14:13:54,W
19/08/2017,14:16:44,S
19/08/2017,14:19:13,W
19/08/2017,14:19:20,S
19/08/2017,14:23:14,W
19/08/2017,14:24:25,S
19/08/2017,14:36:23,W
19/08/2017,14:36:49,S
19/08/2017,14:45:57,W
19/08/2017,14:51:16,S
19/08/2017,14:53:37,W
19/08/2017,15:16:10,S
